letter_slant,line_slant,letter_size,margin_slope,word_spacing,personality
backward,upperside,1307.2,straight,small,Agreeableness
backward,upperside,932.0,right,small,Agreeableness
forward,upperside,891.4,straight,small,Agreeableness
forward,upperside,279.6,straight,small,Agreeableness
vertical,upperside,766.0,straight,small,Agreeableness
vertical,lowerside,331.5,right,medium,Agreeableness
backward,upperside,897.8,left,small,Agreeableness
forward,lowerside,797.0,left,small,Agreeableness
backward,upperside,1889.3,left,small,Agreeableness
vertical,upperside,1248.2,left,small,Agreeableness
vertical,upperside,1381.3,left,medium,Agreeableness
vertical,upperside,1123.8,left,small,Agreeableness
backward,lowerside,1333.4,straight,medium,Agreeableness
backward,upperside,1898.0,left,small,Agreeableness
vertical,lowerside,1471.6,right,small,Agreeableness
backward,lowerside,898.2,right,small,Agreeableness
vertical,lowerside,802.9,straight,small,Agreeableness
forward,baseline,391.4,straight,small,Agreeableness
backward,upperside,1718.7,left,medium,Agreeableness
backward,baseline,1494.2,right,medium,Agreeableness
backward,lowerside,1246.4,left,medium,Agreeableness
backward,upperside,1472.0,right,small,Agreeableness
forward,baseline,904.9,right,medium,Agreeableness
backward,upperside,1396.2,right,small,Agreeableness
vertical,upperside,1281.8,right,small,Agreeableness
backward,upperside,1539.0,left,medium,Agreeableness
forward,upperside,1236.4,left,medium,Agreeableness
backward,upperside,812.2,right,small,Agreeableness
backward,lowerside,425.9,left,small,Agreeableness
backward,upperside,598.7,right,small,Agreeableness
backward,upperside,667.1,left,small,Conscientiousness
backward,lowerside,613.1,left,medium,Conscientiousness
forward,upperside,671.1,left,medium,Conscientiousness
forward,upperside,402.4,right,small,Conscientiousness
vertical,upperside,1445.7,right,medium,Conscientiousness
vertical,upperside,1341.4,left,small,Conscientiousness
forward,upperside,985.8,left,medium,Conscientiousness
vertical,upperside,833.6,right,small,Conscientiousness
vertical,lowerside,964.4,right,medium,Conscientiousness
forward,upperside,945.1,straight,small,Conscientiousness
backward,upperside,783.5,right,small,Conscientiousness
vertical,baseline,494.3,right,small,Conscientiousness
forward,upperside,1020.7,right,small,Conscientiousness
vertical,baseline,895.5,right,medium,Conscientiousness
forward,upperside,1739.6,straight,medium,Conscientiousness
forward,upperside,963.7,right,small,Conscientiousness
vertical,upperside,1303.5,left,large,Conscientiousness
backward,lowerside,782.1,right,medium,Conscientiousness
forward,upperside,1126.6,straight,medium,Conscientiousness
forward,upperside,1530.1,right,medium,Conscientiousness
backward,upperside,1075.1,right,small,Conscientiousness
backward,upperside,1135.6,right,small,Conscientiousness
vertical,baseline,746.4,left,small,Conscientiousness
backward,lowerside,1517.0,right,small,Conscientiousness
vertical,upperside,1024.3,right,medium,Conscientiousness
backward,lowerside,946.7,right,small,Conscientiousness
forward,upperside,558.5,right,small,Conscientiousness
backward,upperside,443.7,right,small,Extraversion
backward,upperside,589.3,straight,small,Extraversion
vertical,baseline,284.7,right,small,Extraversion
backward,upperside,1126.3,left,small,Extraversion
backward,lowerside,1425.0,right,small,Extraversion
forward,upperside,1542.4,right,large,Extraversion
backward,upperside,1102.5,right,small,Extraversion
vertical,baseline,1358.6,right,medium,Extraversion
backward,lowerside,750.9,straight,small,Neuroticism
forward,lowerside,522.2,straight,small,Neuroticism
vertical,lowerside,760.4,right,medium,Neuroticism
vertical,upperside,1387.8,right,small,Neuroticism
backward,lowerside,1378.2,right,small,Neuroticism
vertical,upperside,1160.7,right,small,Neuroticism
vertical,upperside,728.3,right,medium,Neuroticism
vertical,upperside,1981.8,left,medium,Neuroticism
forward,upperside,539.4,right,small,Neuroticism
vertical,upperside,371.3,right,small,Neuroticism
forward,upperside,1616.6,straight,medium,Neuroticism
vertical,upperside,760.8,left,medium,Neuroticism
vertical,upperside,535.3,right,small,Neuroticism
forward,upperside,1053.3,right,small,Neuroticism
forward,upperside,1515.6,right,small,Neuroticism
forward,upperside,600.0,right,medium,Neuroticism
backward,upperside,1877.2,right,medium,Neuroticism
vertical,baseline,628.4,straight,small,Neuroticism
forward,upperside,1057.0,left,small,Neuroticism
vertical,baseline,894.1,straight,medium,Neuroticism
backward,upperside,1085.0,right,small,Neuroticism
backward,baseline,1128.1,left,medium,Neuroticism
vertical,upperside,888.9,right,small,Neuroticism
forward,upperside,462.6,right,small,Neuroticism
forward,upperside,308.6,right,large,Neuroticism
backward,upperside,395.1,right,small,Neuroticism
backward,lowerside,274.0,left,medium,Neuroticism
vertical,lowerside,383.7,right,medium,Neuroticism
backward,upperside,814.9,right,small,Neuroticism
backward,lowerside,1502.7,right,large,Neuroticism
backward,upperside,441.1,straight,small,Neuroticism
backward,upperside,795.6,right,small,Neuroticism
forward,baseline,640.4,left,large,Neuroticism
backward,upperside,451.1,right,small,Neuroticism
vertical,upperside,329.4,right,small,Neuroticism
backward,upperside,411.9,left,small,Neuroticism
forward,upperside,1486.5,right,small,Openness
vertical,upperside,466.4,left,medium,Openness
backward,upperside,806.4,right,small,Openness
forward,upperside,485.7,right,medium,Openness
forward,upperside,994.0,right,small,Openness
backward,upperside,1478.2,straight,small,Openness
backward,upperside,543.4,right,small,Openness
vertical,upperside,894.0,right,small,Openness
backward,lowerside,1285.6,left,small,Openness
backward,upperside,606.1,left,small,Openness
backward,baseline,648.2,straight,medium,Openness
backward,upperside,1064.7,straight,small,Openness
vertical,upperside,727.2,right,medium,Openness
backward,upperside,1062.8,right,small,Openness
vertical,upperside,792.9,straight,small,Openness
vertical,lowerside,432.7,right,large,Openness
backward,upperside,1312.6,right,small,Openness
backward,upperside,663.1,left,large,Openness
vertical,upperside,1410.7,straight,small,Openness
vertical,upperside,1064.1,straight,small,Openness
backward,lowerside,673.1,straight,large,Openness
backward,upperside,526.6,right,small,Openness
backward,lowerside,1155.8,left,small,Openness
backward,lowerside,550.0,left,small,Openness
forward,upperside,1553.5,left,small,Openness
vertical,upperside,1082.4,straight,small,Openness
vertical,baseline,1165.4,left,small,Openness
vertical,baseline,2085.7,left,large,Openness
vertical,lowerside,515.5,right,small,Openness
backward,baseline,743.4,right,small,Openness
vertical,baseline,640.8,right,small,Openness
backward,lowerside,592.0,straight,small,Openness
vertical,baseline,1122.7,straight,medium,Openness
backward,upperside,2083.1,left,small,Openness
forward,baseline,870.8,left,small,Openness
vertical,upperside,917.2,right,small,Openness
forward,upperside,679.2,left,large,Openness
vertical,upperside,753.5,left,small,Openness
forward,upperside,368.5,right,small,Openness
backward,upperside,695.0,straight,small,Openness
vertical,baseline,821.8,straight,medium,Openness
forward,upperside,2707.0,right,small,Openness
vertical,upperside,1237.8,left,small,Openness
forward,upperside,1932.2,left,medium,Openness
vertical,upperside,1437.1,right,small,Openness
forward,upperside,858.3,straight,small,Openness
forward,lowerside,521.5,left,small,Openness
backward,upperside,1338.2,left,small,Openness
backward,lowerside,678.5,right,small,Openness
backward,upperside,1295.3,straight,small,Openness
backward,lowerside,263.9,left,small,Openness
backward,upperside,651.1,right,small,Openness
backward,upperside,252.4,straight,small,Openness
vertical,upperside,1600.4,straight,small,Openness
forward,baseline,1671.3,right,medium,Openness
backward,upperside,327.4,right,small,Openness
vertical,baseline,151.3,right,small,Openness
backward,upperside,2115.5,straight,small,Openness
vertical,upperside,961.7,straight,small,Openness
forward,upperside,907.1,right,medium,Openness
backward,upperside,1279.3,right,small,Openness
forward,upperside,1232.5,left,small,Openness
forward,upperside,628.9,left,small,Openness
forward,upperside,412.5,left,small,Openness
backward,upperside,699.9,right,small,Openness
vertical,baseline,733.8,right,small,Openness
forward,upperside,1095.9,right,small,Openness
forward,upperside,667.7,right,medium,Openness
vertical,upperside,2314.0,straight,large,Openness
forward,baseline,678.9,left,medium,Openness
vertical,upperside,203.5,left,small,Openness
vertical,upperside,169.2,left,small,Openness
backward,upperside,580.1,right,small,Openness
backward,lowerside,673.2,right,small,Openness
vertical,upperside,1204.3,right,small,Openness
forward,upperside,755.3,left,small,Openness
