letter_slant,line_slant,word_spacing,personality
vertical,upperside,small,Agreeableness
backward,lowerside,medium,Agreeableness
forward,baseline,small,Agreeableness
forward,upperside,small,Agreeableness
backward,baseline,small,Agreeableness
backward,baseline,medium,Agreeableness
forward,upperside,medium,Agreeableness
vertical,baseline,medium,Agreeableness
backward,lowerside,medium,Agreeableness
vertical,lowerside,large,Agreeableness
vertical,baseline,large,Agreeableness
forward,baseline,medium,Agreeableness
backward,lowerside,large,Agreeableness
backward,lowerside,small,Agreeableness
forward,baseline,medium,Agreeableness
backward,baseline,medium,Agreeableness
forward,lowerside,small,Agreeableness
vertical,baseline,medium,Agreeableness
vertical,upperside,large,Agreeableness
vertical,baseline,large,Agreeableness
backward,baseline,large,Agreeableness
vertical,upperside,medium,Agreeableness
vertical,baseline,small,Agreeableness
vertical,lowerside,medium,Agreeableness
forward,upperside,medium,Agreeableness
vertical,baseline,large,Agreeableness
forward,upperside,large,Agreeableness
backward,lowerside,medium,Agreeableness
backward,lowerside,small,Agreeableness
forward,upperside,small,Agreeableness
backward,lowerside,medium,Conscientiousness
backward,lowerside,medium,Conscientiousness
forward,upperside,large,Conscientiousness
forward,baseline,small,Conscientiousness
vertical,baseline,large,Conscientiousness
vertical,baseline,large,Conscientiousness
forward,upperside,large,Conscientiousness
forward,upperside,small,Conscientiousness
vertical,upperside,large,Conscientiousness
vertical,upperside,small,Conscientiousness
vertical,baseline,small,Conscientiousness
backward,baseline,medium,Conscientiousness
forward,upperside,medium,Conscientiousness
vertical,baseline,large,Conscientiousness
forward,baseline,small,Conscientiousness
forward,baseline,large,Conscientiousness
forward,baseline,small,Conscientiousness
backward,lowerside,large,Conscientiousness
forward,upperside,medium,Conscientiousness
forward,baseline,large,Conscientiousness
forward,baseline,medium,Conscientiousness
forward,baseline,small,Conscientiousness
forward,baseline,large,Conscientiousness
backward,baseline,medium,Conscientiousness
vertical,baseline,large,Conscientiousness
backward,baseline,small,Conscientiousness
forward,upperside,medium,Conscientiousness
vertical,baseline,small,Extraversion
vertical,upperside,small,Extraversion
vertical,baseline,small,Extraversion
backward,lowerside,small,Extraversion
forward,baseline,large,Extraversion
forward,upperside,large,Extraversion
backward,baseline,small,Extraversion
backward,baseline,medium,Extraversion
forward,baseline,medium,Neuroticism
backward,lowerside,medium,Neuroticism
forward,baseline,medium,Neuroticism
vertical,baseline,medium,Neuroticism
forward,upperside,small,Neuroticism
forward,baseline,large,Neuroticism
forward,upperside,medium,Neuroticism
forward,baseline,large,Neuroticism
forward,upperside,large,Neuroticism
forward,upperside,small,Neuroticism
forward,upperside,small,Neuroticism
forward,upperside,large,Neuroticism
forward,baseline,large,Neuroticism
vertical,upperside,medium,Neuroticism
forward,upperside,small,Neuroticism
forward,upperside,medium,Neuroticism
forward,baseline,large,Neuroticism
vertical,baseline,large,Neuroticism
forward,baseline,medium,Neuroticism
backward,baseline,large,Neuroticism
forward,baseline,small,Neuroticism
forward,baseline,large,Neuroticism
forward,upperside,small,Neuroticism
forward,upperside,small,Neuroticism
forward,baseline,large,Neuroticism
backward,lowerside,small,Neuroticism
vertical,baseline,large,Neuroticism
backward,lowerside,large,Neuroticism
backward,lowerside,medium,Neuroticism
vertical,baseline,large,Neuroticism
vertical,upperside,small,Neuroticism
backward,lowerside,small,Neuroticism
vertical,baseline,large,Neuroticism
backward,lowerside,small,Neuroticism
backward,lowerside,medium,Neuroticism
forward,baseline,medium,Neuroticism
forward,upperside,small,Openness
vertical,baseline,large,Openness
vertical,baseline,small,Openness
forward,baseline,medium,Openness
vertical,lowerside,small,Openness
forward,baseline,small,Openness
backward,baseline,large,Openness
forward,upperside,small,Openness
vertical,baseline,small,Openness
forward,baseline,large,Openness
forward,baseline,large,Openness
backward,upperside,small,Openness
forward,baseline,large,Openness
vertical,baseline,small,Openness
backward,baseline,small,Openness
vertical,baseline,large,Openness
vertical,baseline,small,Openness
vertical,baseline,large,Openness
forward,upperside,small,Openness
backward,baseline,large,Openness
vertical,upperside,large,Openness
backward,lowerside,small,Openness
backward,lowerside,medium,Openness
forward,upperside,small,Openness
forward,upperside,small,Openness
forward,baseline,large,Openness
vertical,baseline,large,Openness
vertical,upperside,medium,Openness
backward,baseline,medium,Openness
backward,lowerside,large,Openness
forward,baseline,medium,Openness
backward,lowerside,large,Openness
vertical,baseline,medium,Openness
vertical,baseline,large,Openness
forward,baseline,large,Openness
forward,upperside,small,Openness
forward,upperside,small,Openness
backward,baseline,small,Openness
vertical,baseline,large,Openness
forward,upperside,large,Openness
forward,baseline,medium,Openness
forward,upperside,large,Openness
forward,baseline,small,Openness
forward,baseline,small,Openness
forward,baseline,small,Openness
forward,baseline,medium,Openness
vertical,lowerside,large,Openness
forward,baseline,small,Openness
vertical,baseline,large,Openness
backward,baseline,small,Openness
forward,baseline,large,Openness
forward,baseline,large,Openness
backward,baseline,small,Openness
forward,baseline,small,Openness
forward,baseline,medium,Openness
forward,upperside,small,Openness
forward,baseline,large,Openness
vertical,baseline,small,Openness
forward,upperside,large,Openness
forward,upperside,small,Openness
forward,baseline,small,Openness
backward,baseline,small,Openness
forward,baseline,large,Openness
forward,upperside,small,Openness
forward,upperside,medium,Openness
forward,baseline,large,Openness
vertical,baseline,large,Openness
forward,baseline,small,Openness
forward,upperside,small,Openness
vertical,baseline,small,Openness
backward,baseline,medium,Openness
forward,upperside,small,Openness
forward,baseline,medium,Openness
forward,upperside,medium,Openness
forward,upperside,small,Openness
backward,lowerside,small,Openness
