letter_slant,line_slant,margin_slope,letter_size,word_spacing,personality
-2.0,1.0,1.4,156.6,51.5,Agreeableness
-6.0,2.8,6.8,56.7,28.0,Agreeableness
-11.0,9.6,15.3,486.2,22.0,Agreeableness
0.0,1.0,-28.1,421.2,14.0,Agreeableness
-7.0,6.1,-21.5,213.9,16.5,Agreeableness
-4.0,2.9,-19.1,93.4,68.0,Agreeableness
-6.0,0.0,2.2,152.9,9.0,Agreeableness
1.0,-88.1,-3.3,622.2,33.0,Agreeableness
-2.0,-87.0,-24.6,763.3,18.0,Agreeableness
4.0,85.4,3.1,255.7,14.0,Agreeableness
-7.0,2.0,26.0,40.4,29.5,Agreeableness
18.0,-2.3,1.0,112.8,1.0,Agreeableness
9.0,-9.0,-25.4,75.6,62.0,Agreeableness
-13.0,13.8,-6.1,425.9,23.5,Agreeableness
10.0,-75.1,30.0,290.1,3.0,Agreeableness
0.0,2.8,16.0,84.2,71.0,Agreeableness
8.0,-84.1,29.2,813.9,22.0,Agreeableness
10.0,-1.9,-11.5,1397.6,39.0,Agreeableness
13.0,-5.1,-14.0,788.7,20.0,Agreeableness
-3.0,1.8,16.7,94.8,22.0,Agreeableness
9.0,0.0,-9.1,532.0,23.0,Agreeableness
7.0,0.0,-7.3,811.3,24.0,Agreeableness
-4.0,3.1,4.6,466.8,45.0,Agreeableness
2.0,-75.1,4.1,931.7,15.0,Agreeableness
-1.0,-84.0,4.3,769.4,21.0,Agreeableness
4.0,-2.8,-5.6,106.1,26.0,Agreeableness
-10.0,7.0,-5.6,167.9,67.0,Agreeableness
4.0,-3.0,-32.5,121.8,43.0,Agreeableness
2.0,0.0,0.5,93.7,46.5,Agreeableness
3.0,-1.0,-27.3,52.5,22.0,Agreeableness
-3.0,4.8,-4.8,948.3,29.0,Agreeableness
2.0,0.0,12.6,74.2,3.0,Agreeableness
2.0,-2.1,4.2,89.0,37.0,Agreeableness
6.0,-4.0,-1.1,30.6,1.0,Agreeableness
13.0,-5.1,6.4,441.0,23.0,Conscientiousness
11.0,-4.8,42.5,350.2,13.0,Conscientiousness
8.0,-5.1,-18.8,59.3,22.0,Conscientiousness
7.0,-3.7,-25.2,88.4,63.0,Conscientiousness
-10.0,1.8,33.0,75.2,22.0,Conscientiousness
-5.0,1.1,36.3,79.9,55.0,Conscientiousness
-1.0,-2.8,33.2,116.0,45.0,Conscientiousness
-10.0,2.1,-8.0,1322.6,31.0,Conscientiousness
6.0,-1.9,8.5,77.8,42.0,Conscientiousness
