letter_slant,line_slant,letter_size,margin_slope,word_spacing,personality
1,1,279.6,0,-1,Agreeableness
1,-1,797.0,-1,-1,Agreeableness
-1,1,1396.2,1,-1,Agreeableness
-1,-1,898.2,1,-1,Agreeableness
0,1,1281.8,1,-1,Agreeableness
0,-1,802.9,0,-1,Agreeableness
-1,-1,1246.4,-1,0,Agreeableness
0,-1,1471.6,1,-1,Agreeableness
0,1,1123.8,-1,-1,Agreeableness
-1,1,1307.2,0,-1,Agreeableness
0,0,758.6,0,0,Agreeableness
0,0,706.1,1,-1,Agreeableness
-1,-1,1333.4,0,0,Agreeableness
-1,1,1472.0,1,-1,Agreeableness
0,-1,1214.3,1,0,Agreeableness
-1,1,1604.0,1,-1,Agreeableness
-1,1,1197.3,-1,-1,Agreeableness
-1,1,627.3,0,0,Agreeableness
0,-1,331.5,1,0,Agreeableness
-1,-1,425.9,-1,-1,Agreeableness
0,1,1248.2,-1,-1,Agreeableness
1,1,891.4,0,-1,Agreeableness
-1,1,1889.3,-1,-1,Agreeableness
1,0,904.9,1,0,Agreeableness
-1,0,1494.2,1,0,Agreeableness
-1,1,1539.0,-1,0,Agreeableness
-1,1,1718.7,-1,0,Agreeableness
1,1,606.6,-1,-1,Agreeableness
1,1,1236.4,-1,0,Agreeableness
-1,1,1046.6,-1,-1,Agreeableness
0,1,1381.3,-1,0,Agreeableness
-1,1,932.0,1,-1,Agreeableness
-1,1,598.7,1,-1,Agreeableness
0,1,766.0,0,-1,Agreeableness
-1,-1,782.1,1,0,Conscientiousness
1,-1,796.0,-1,-1,Conscientiousness
1,1,1530.1,1,0,Conscientiousness
0,1,1024.3,1,0,Conscientiousness
0,0,746.4,-1,-1,Conscientiousness
0,1,1341.4,-1,-1,Conscientiousness
0,1,1445.7,1,0,Conscientiousness
1,1,985.8,-1,0,Conscientiousness
1,1,402.4,1,-1,Conscientiousness
-1,1,2187.3,1,0,Conscientiousness
1,1,963.7,1,-1,Conscientiousness
-1,1,4310.4,1,1,Conscientiousness
-1,-1,613.1,-1,0,Conscientiousness
-1,1,783.5,1,-1,Conscientiousness
-1,-1,1377.1,-1,1,Conscientiousness
0,0,895.5,1,0,Conscientiousness
1,1,1739.6,0,0,Conscientiousness
0,-1,964.4,1,0,Conscientiousness
0,1,1303.5,-1,1,Conscientiousness
1,1,1324.9,0,-1,Conscientiousness
0,0,494.3,1,-1,Conscientiousness
-1,-1,927.3,1,1,Conscientiousness
-1,1,1135.6,1,-1,Conscientiousness
-1,-1,946.7,1,-1,Conscientiousness
0,1,833.6,1,-1,Conscientiousness
1,1,1126.6,0,0,Conscientiousness
1,1,1020.7,1,-1,Conscientiousness
-1,1,1075.1,1,-1,Conscientiousness
-1,1,667.1,-1,-1,Conscientiousness
0,1,811.0,-1,-1,Conscientiousness
1,1,671.1,-1,0,Conscientiousness
0,-1,1447.7,1,1,Extraversion
-1,-1,1425.0,1,-1,Extraversion
-1,1,589.3,0,-1,Extraversion
-1,1,1102.5,1,-1,Extraversion
-1,1,443.7,1,-1,Extraversion
1,1,1542.4,1,1,Extraversion
0,0,1358.6,1,0,Extraversion
-1,1,740.3,0,-1,Extraversion
-1,1,1126.3,-1,-1,Extraversion
0,0,628.4,0,-1,Neuroticism
0,1,728.3,1,0,Neuroticism
